Category,count_incidents,Year
ARSON,289,2003
ASSAULT,12370,2003
BAD CHECKS,133,2003
BRIBERY,28,2003
BURGLARY,6024,2003
DISORDERLY CONDUCT,881,2003
DRIVING UNDER THE INFLUENCE,289,2003
DRUG/NARCOTIC,7832,2003
DRUNKENNESS,662,2003
EMBEZZLEMENT,239,2003
EXTORTION,43,2003
FAMILY OFFENSES,115,2003
FORGERY/COUNTERFEITING,2211,2003
FRAUD,3190,2003
GAMBLING,27,2003
KIDNAPPING,307,2003
LARCENY/THEFT,26266,2003
LIQUOR LAWS,272,2003
LOITERING,174,2003
MISSING PERSON,3271,2003
NON-CRIMINAL,13060,2003
OTHER OFFENSES,20028,2003
PORNOGRAPHY/OBSCENE MAT,3,2003
PROSTITUTION,1486,2003
ROBBERY,3173,2003
RUNAWAY,366,2003
SECONDARY CODES,1257,2003
"SEX OFFENSES, FORCIBLE",647,2003
"SEX OFFENSES, NON FORCIBLE",28,2003
STOLEN PROPERTY,800,2003
SUICIDE,93,2003
SUSPICIOUS OCC,4180,2003
TRESPASS,1434,2003
VANDALISM,6390,2003
VEHICLE THEFT,8790,2003
WARRANTS,8524,2003
WEAPON LAWS,1213,2003
ARSON,277,2004
ASSAULT,11909,2004
BAD CHECKS,79,2004
BRIBERY,39,2004
BURGLARY,6718,2004
DISORDERLY CONDUCT,812,2004
DRIVING UNDER THE INFLUENCE,243,2004
DRUG/NARCOTIC,7784,2004
DRUNKENNESS,600,2004
EMBEZZLEMENT,200,2004
EXTORTION,56,2004
FAMILY OFFENSES,109,2004
FORGERY/COUNTERFEITING,2200,2004
FRAUD,2667,2004
GAMBLING,25,2004
KIDNAPPING,267,2004
LARCENY/THEFT,24332,2004
LIQUOR LAWS,347,2004
LOITERING,235,2004
MISSING PERSON,3215,2004
NON-CRIMINAL,13674,2004
OTHER OFFENSES,19525,2004
PORNOGRAPHY/OBSCENE MAT,3,2004
PROSTITUTION,1295,2004
ROBBERY,3344,2004
RUNAWAY,431,2004
SECONDARY CODES,1330,2004
"SEX OFFENSES, FORCIBLE",658,2004
"SEX OFFENSES, NON FORCIBLE",31,2004
STOLEN PROPERTY,641,2004
SUICIDE,101,2004
SUSPICIOUS OCC,4471,2004
TRESPASS,1191,2004
VANDALISM,6432,2004
VEHICLE THEFT,10020,2004
WARRANTS,7606,2004
WEAPON LAWS,1198,2004
ARSON,231,2005
ASSAULT,10930,2005
BAD CHECKS,101,2005
BRIBERY,38,2005
BURGLARY,7045,2005
DISORDERLY CONDUCT,682,2005
DRIVING UNDER THE INFLUENCE,192,2005
DRUG/NARCOTIC,6877,2005
DRUNKENNESS,636,2005
EMBEZZLEMENT,197,2005
EXTORTION,34,2005
FAMILY OFFENSES,63,2005
FORGERY/COUNTERFEITING,2134,2005
FRAUD,2447,2005
GAMBLING,29,2005
KIDNAPPING,267,2005
LARCENY/THEFT,25217,2005
LIQUOR LAWS,269,2005
LOITERING,273,2005
MISSING PERSON,3189,2005
NON-CRIMINAL,13936,2005
OTHER OFFENSES,17021,2005
PORNOGRAPHY/OBSCENE MAT,5,2005
PROSTITUTION,1007,2005
ROBBERY,3522,2005
RUNAWAY,388,2005
SECONDARY CODES,993,2005
"SEX OFFENSES, FORCIBLE",604,2005
"SEX OFFENSES, NON FORCIBLE",24,2005
STOLEN PROPERTY,540,2005
SUICIDE,79,2005
SUSPICIOUS OCC,4660,2005
TRESPASS,1034,2005
VANDALISM,6948,2005
VEHICLE THEFT,10114,2005
WARRANTS,6290,2005
WEAPON LAWS,1298,2005
ARSON,238,2006
ASSAULT,11517,2006
BAD CHECKS,86,2006
BRIBERY,36,2006
BURGLARY,6975,2006
DISORDERLY CONDUCT,517,2006
DRIVING UNDER THE INFLUENCE,263,2006
DRUG/NARCOTIC,7150,2006
DRUNKENNESS,703,2006
EMBEZZLEMENT,227,2006
EXTORTION,49,2006
FAMILY OFFENSES,88,2006
FORGERY/COUNTERFEITING,2202,2006
FRAUD,2514,2006
GAMBLING,28,2006
KIDNAPPING,309,2006
LARCENY/THEFT,27244,2006
LIQUOR LAWS,246,2006
LOITERING,96,2006
MISSING PERSON,3667,2006
NON-CRIMINAL,13265,2006
OTHER OFFENSES,17292,2006
PORNOGRAPHY/OBSCENE MAT,6,2006
PROSTITUTION,1155,2006
RECOVERED VEHICLE,1086,2006
ROBBERY,4091,2006
RUNAWAY,382,2006
SECONDARY CODES,1363,2006
"SEX OFFENSES, FORCIBLE",565,2006
"SEX OFFENSES, NON FORCIBLE",29,2006
STOLEN PROPERTY,575,2006
SUICIDE,84,2006
SUSPICIOUS OCC,4729,2006
TRESPASS,1100,2006
VANDALISM,7595,2006
VEHICLE THEFT,7205,2006
WARRANTS,6097,2006
WEAPON LAWS,1290,2006
ARSON,244,2007
ASSAULT,11481,2007
BAD CHECKS,69,2007
BRIBERY,56,2007
BURGLARY,5426,2007
DISORDERLY CONDUCT,568,2007
DRIVING UNDER THE INFLUENCE,308,2007
DRUG/NARCOTIC,8018,2007
DRUNKENNESS,671,2007
EMBEZZLEMENT,267,2007
EXTORTION,41,2007
FAMILY OFFENSES,77,2007
FORGERY/COUNTERFEITING,2471,2007
FRAUD,2278,2007
GAMBLING,37,2007
KIDNAPPING,332,2007
LARCENY/THEFT,25632,2007
LIQUOR LAWS,400,2007
LOITERING,430,2007
MISSING PERSON,3356,2007
NON-CRIMINAL,12564,2007
OTHER OFFENSES,18394,2007
PORNOGRAPHY/OBSCENE MAT,4,2007
PROSTITUTION,1552,2007
RECOVERED VEHICLE,987,2007
ROBBERY,3978,2007
RUNAWAY,273,2007
SECONDARY CODES,1456,2007
"SEX OFFENSES, FORCIBLE",575,2007
"SEX OFFENSES, NON FORCIBLE",39,2007
STOLEN PROPERTY,527,2007
SUICIDE,109,2007
SUSPICIOUS OCC,4745,2007
TRESPASS,1197,2007
VANDALISM,7461,2007
VEHICLE THEFT,6377,2007
WARRANTS,6613,2007
WEAPON LAWS,1256,2007
ARSON,246,2008
ASSAULT,11564,2008
BAD CHECKS,78,2008
BRIBERY,49,2008
BURGLARY,5655,2008
DISORDERLY CONDUCT,773,2008
DRIVING UNDER THE INFLUENCE,407,2008
DRUG/NARCOTIC,8745,2008
DRUNKENNESS,710,2008
EMBEZZLEMENT,242,2008
EXTORTION,52,2008
FAMILY OFFENSES,72,2008
FORGERY/COUNTERFEITING,2377,2008
FRAUD,2488,2008
GAMBLING,26,2008
KIDNAPPING,333,2008
LARCENY/THEFT,25640,2008
LIQUOR LAWS,488,2008
LOITERING,441,2008
MISSING PERSON,3820,2008
NON-CRIMINAL,12159,2008
OTHER OFFENSES,21813,2008
PORNOGRAPHY/OBSCENE MAT,5,2008
PROSTITUTION,1351,2008
RECOVERED VEHICLE,833,2008
ROBBERY,4174,2008
RUNAWAY,259,2008
SECONDARY CODES,1567,2008
"SEX OFFENSES, FORCIBLE",626,2008
"SEX OFFENSES, NON FORCIBLE",20,2008
STOLEN PROPERTY,518,2008
SUICIDE,100,2008
SUSPICIOUS OCC,4701,2008
TRESPASS,1151,2008
VANDALISM,7226,2008
VEHICLE THEFT,5980,2008
WARRANTS,5517,2008
WEAPON LAWS,1369,2008
ARSON,219,2009
ASSAULT,10927,2009
BAD CHECKS,64,2009
BRIBERY,46,2009
BURGLARY,5355,2009
DISORDERLY CONDUCT,946,2009
DRIVING UNDER THE INFLUENCE,570,2009
DRUG/NARCOTIC,8238,2009
DRUNKENNESS,804,2009
EMBEZZLEMENT,209,2009
EXTORTION,92,2009
FAMILY OFFENSES,81,2009
FORGERY/COUNTERFEITING,2098,2009
FRAUD,2453,2009
GAMBLING,26,2009
KIDNAPPING,467,2009
LARCENY/THEFT,25382,2009
LIQUOR LAWS,389,2009
LOITERING,126,2009
MISSING PERSON,3262,2009
NON-CRIMINAL,12204,2009
OTHER OFFENSES,22546,2009
PROSTITUTION,1156,2009
RECOVERED VEHICLE,655,2009
ROBBERY,3546,2009
RUNAWAY,340,2009
SECONDARY CODES,1780,2009
"SEX OFFENSES, FORCIBLE",608,2009
"SEX OFFENSES, NON FORCIBLE",17,2009
STOLEN PROPERTY,657,2009
SUICIDE,81,2009
SUSPICIOUS OCC,4560,2009
TRESPASS,1232,2009
VANDALISM,7498,2009
VEHICLE THEFT,5125,2009
WARRANTS,5398,2009
WEAPON LAWS,1303,2009
ARSON,205,2010
ASSAULT,10785,2010
BAD CHECKS,54,2010
BRIBERY,61,2010
BURGLARY,4915,2010
DISORDERLY CONDUCT,816,2010
DRIVING UNDER THE INFLUENCE,448,2010
DRUG/NARCOTIC,6246,2010
DRUNKENNESS,706,2010
EMBEZZLEMENT,153,2010
EXTORTION,58,2010
FAMILY OFFENSES,94,2010
FORGERY/COUNTERFEITING,1014,2010
FRAUD,2565,2010
GAMBLING,10,2010
KIDNAPPING,343,2010
LARCENY/THEFT,24228,2010
LIQUOR LAWS,316,2010
LOITERING,186,2010
MISSING PERSON,3217,2010
NON-CRIMINAL,13674,2010
OTHER OFFENSES,19396,2010
PORNOGRAPHY/OBSCENE MAT,4,2010
PROSTITUTION,933,2010
RECOVERED VEHICLE,609,2010
ROBBERY,3251,2010
RUNAWAY,293,2010
SECONDARY CODES,1868,2010
"SEX OFFENSES, FORCIBLE",618,2010
"SEX OFFENSES, NON FORCIBLE",30,2010
STOLEN PROPERTY,662,2010
SUICIDE,82,2010
SUSPICIOUS OCC,5905,2010
TREA,2,2010
TRESPASS,1131,2010
VANDALISM,7733,2010
VEHICLE THEFT,4166,2010
WARRANTS,5715,2010
WEAPON LAWS,1148,2010
ARSON,198,2011
ASSAULT,10620,2011
BAD CHECKS,45,2011
BRIBERY,46,2011
BURGLARY,4912,2011
DISORDERLY CONDUCT,752,2011
DRIVING UNDER THE INFLUENCE,457,2011
DRUG/NARCOTIC,4720,2011
DRUNKENNESS,652,2011
EMBEZZLEMENT,166,2011
EXTORTION,40,2011
FAMILY OFFENSES,56,2011
FORGERY/COUNTERFEITING,770,2011
FRAUD,2672,2011
GAMBLING,17,2011
KIDNAPPING,400,2011
LARCENY/THEFT,25633,2011
LIQUOR LAWS,255,2011
LOITERING,123,2011
MISSING PERSON,3158,2011
NON-CRIMINAL,15338,2011
OTHER OFFENSES,18126,2011
PORNOGRAPHY/OBSCENE MAT,3,2011
PROSTITUTION,693,2011
RECOVERED VEHICLE,693,2011
ROBBERY,3278,2011
RUNAWAY,320,2011
SECONDARY CODES,1814,2011
"SEX OFFENSES, FORCIBLE",626,2011
"SEX OFFENSES, NON FORCIBLE",29,2011
STOLEN PROPERTY,766,2011
SUICIDE,76,2011
SUSPICIOUS OCC,6098,2011
TRESPASS,1058,2011
VANDALISM,7074,2011
VEHICLE THEFT,4482,2011
WARRANTS,5820,2011
WEAPON LAWS,1055,2011
ARSON,232,2012
ASSAULT,10418,2012
BAD CHECKS,49,2012
BRIBERY,64,2012
BURGLARY,6160,2012
DISORDERLY CONDUCT,693,2012
DRIVING UNDER THE INFLUENCE,410,2012
DRUG/NARCOTIC,4376,2012
DRUNKENNESS,644,2012
EMBEZZLEMENT,166,2012
EXTORTION,38,2012
FAMILY OFFENSES,77,2012
FORGERY/COUNTERFEITING,931,2012
FRAUD,2622,2012
GAMBLING,15,2012
KIDNAPPING,276,2012
LARCENY/THEFT,30647,2012
LIQUOR LAWS,219,2012
LOITERING,133,2012
MISSING PERSON,2750,2012
NON-CRIMINAL,16585,2012
OTHER OFFENSES,17144,2012
PORNOGRAPHY/OBSCENE MAT,2,2012
PROSTITUTION,453,2012
RECOVERED VEHICLE,723,2012
ROBBERY,3828,2012
RUNAWAY,329,2012
SECONDARY CODES,1860,2012
"SEX OFFENSES, FORCIBLE",688,2012
"SEX OFFENSES, NON FORCIBLE",28,2012
STOLEN PROPERTY,909,2012
SUICIDE,86,2012
SUSPICIOUS OCC,5743,2012
TREA,2,2012
TRESPASS,1254,2012
VANDALISM,7626,2012
VEHICLE THEFT,5867,2012
WARRANTS,5824,2012
WEAPON LAWS,1129,2012
ARSON,241,2013
ASSAULT,10709,2013
BAD CHECKS,26,2013
BRIBERY,69,2013
BURGLARY,6105,2013
DISORDERLY CONDUCT,463,2013
DRIVING UNDER THE INFLUENCE,433,2013
DRUG/NARCOTIC,4686,2013
DRUNKENNESS,954,2013
EMBEZZLEMENT,169,2013
EXTORTION,30,2013
FAMILY OFFENSES,74,2013
FORGERY/COUNTERFEITING,837,2013
FRAUD,2650,2013
GAMBLING,20,2013
KIDNAPPING,497,2013
LARCENY/THEFT,35983,2013
LIQUOR LAWS,221,2013
LOITERING,54,2013
MISSING PERSON,2717,2013
NON-CRIMINAL,20540,2013
OTHER OFFENSES,17724,2013
PORNOGRAPHY/OBSCENE MAT,5,2013
PROSTITUTION,474,2013
RECOVERED VEHICLE,752,2013
ROBBERY,4074,2013
RUNAWAY,214,2013
SECONDARY CODES,1996,2013
"SEX OFFENSES, FORCIBLE",644,2013
"SEX OFFENSES, NON FORCIBLE",18,2013
STOLEN PROPERTY,1189,2013
SUICIDE,72,2013
SUSPICIOUS OCC,5555,2013
TREA,4,2013
TRESPASS,1112,2013
VANDALISM,6750,2013
VEHICLE THEFT,5862,2013
WARRANTS,6749,2013
WEAPON LAWS,1241,2013
ARSON,247,2014
ASSAULT,10571,2014
BAD CHECKS,34,2014
BRIBERY,56,2014
BURGLARY,5963,2014
DISORDERLY CONDUCT,340,2014
DRIVING UNDER THE INFLUENCE,364,2014
DRUG/NARCOTIC,3792,2014
DRUNKENNESS,620,2014
EMBEZZLEMENT,148,2014
EXTORTION,31,2014
FAMILY OFFENSES,88,2014
FORGERY/COUNTERFEITING,702,2014
FRAUD,2890,2014
GAMBLING,8,2014
KIDNAPPING,499,2014
LARCENY/THEFT,37578,2014
LIQUOR LAWS,171,2014
LOITERING,36,2014
MISSING PERSON,2838,2014
NON-CRIMINAL,18921,2014
OTHER OFFENSES,18766,2014
PORNOGRAPHY/OBSCENE MAT,2,2014
PROSTITUTION,325,2014
ROBBERY,3324,2014
RUNAWAY,221,2014
SECONDARY CODES,1876,2014
"SEX OFFENSES, FORCIBLE",709,2014
"SEX OFFENSES, NON FORCIBLE",20,2014
STOLEN PROPERTY,1063,2014
SUICIDE,70,2014
SUSPICIOUS OCC,5146,2014
TREA,1,2014
TRESPASS,1124,2014
VANDALISM,7003,2014
VEHICLE THEFT,6664,2014
WARRANTS,6126,2014
WEAPON LAWS,1249,2014
ARSON,304,2015
ASSAULT,11043,2015
BAD CHECKS,38,2015
BRIBERY,73,2015
BURGLARY,5826,2015
DISORDERLY CONDUCT,547,2015
DRIVING UNDER THE INFLUENCE,419,2015
DRUG/NARCOTIC,3001,2015
DRUNKENNESS,576,2015
EMBEZZLEMENT,180,2015
EXTORTION,39,2015
FAMILY OFFENSES,63,2015
FORGERY/COUNTERFEITING,720,2015
FRAUD,3018,2015
GAMBLING,26,2015
KIDNAPPING,329,2015
LARCENY/THEFT,41573,2015
LIQUOR LAWS,165,2015
LOITERING,27,2015
MISSING PERSON,2815,2015
NON-CRIMINAL,18552,2015
OTHER OFFENSES,18607,2015
PORNOGRAPHY/OBSCENE MAT,4,2015
PROSTITUTION,284,2015
RECOVERED VEHICLE,916,2015
ROBBERY,3640,2015
RUNAWAY,149,2015
SECONDARY CODES,2033,2015
"SEX OFFENSES, FORCIBLE",782,2015
"SEX OFFENSES, NON FORCIBLE",22,2015
STOLEN PROPERTY,945,2015
SUICIDE,79,2015
SUSPICIOUS OCC,5390,2015
TREA,1,2015
TRESPASS,1398,2015
VANDALISM,7535,2015
VEHICLE THEFT,7456,2015
WARRANTS,6204,2015
WEAPON LAWS,1300,2015
ARSON,273,2016
ASSAULT,11280,2016
BAD CHECKS,34,2016
BRIBERY,67,2016
BURGLARY,5691,2016
DISORDERLY CONDUCT,657,2016
DRIVING UNDER THE INFLUENCE,363,2016
DRUG/NARCOTIC,2977,2016
DRUNKENNESS,465,2016
EMBEZZLEMENT,174,2016
EXTORTION,60,2016
FAMILY OFFENSES,51,2016
FORGERY/COUNTERFEITING,583,2016
FRAUD,2566,2016
GAMBLING,19,2016
KIDNAPPING,251,2016
LARCENY/THEFT,40028,2016
LIQUOR LAWS,156,2016
LOITERING,42,2016
MISSING PERSON,2797,2016
NON-CRIMINAL,17507,2016
OTHER OFFENSES,17176,2016
PORNOGRAPHY/OBSCENE MAT,4,2016
PROSTITUTION,384,2016
RECOVERED VEHICLE,730,2016
ROBBERY,3211,2016
RUNAWAY,140,2016
SECONDARY CODES,1847,2016
"SEX OFFENSES, FORCIBLE",815,2016
"SEX OFFENSES, NON FORCIBLE",41,2016
STOLEN PROPERTY,867,2016
SUICIDE,69,2016
SUSPICIOUS OCC,5712,2016
TREA,3,2016
TRESPASS,1807,2016
VANDALISM,8449,2016
VEHICLE THEFT,5955,2016
WARRANTS,5532,2016
WEAPON LAWS,1302,2016
ARSON,314,2017
ASSAULT,11441,2017
BAD CHECKS,22,2017
BRIBERY,66,2017
BURGLARY,5613,2017
DISORDERLY CONDUCT,394,2017
DRIVING UNDER THE INFLUENCE,292,2017
DRUG/NARCOTIC,2324,2017
DRUNKENNESS,338,2017
EMBEZZLEMENT,158,2017
EXTORTION,59,2017
FAMILY OFFENSES,43,2017
FORGERY/COUNTERFEITING,436,2017
FRAUD,2433,2017
GAMBLING,14,2017
KIDNAPPING,202,2017
LARCENY/THEFT,46909,2017
LIQUOR LAWS,76,2017
LOITERING,31,2017
MISSING PERSON,2927,2017
NON-CRIMINAL,16980,2017
OTHER OFFENSES,14902,2017
PORNOGRAPHY/OBSCENE MAT,5,2017
PROSTITUTION,382,2017
RECOVERED VEHICLE,713,2017
ROBBERY,3236,2017
RUNAWAY,248,2017
SECONDARY CODES,2018,2017
"SEX OFFENSES, FORCIBLE",902,2017
"SEX OFFENSES, NON FORCIBLE",43,2017
STOLEN PROPERTY,801,2017
SUICIDE,83,2017
SUSPICIOUS OCC,5975,2017
TREA,1,2017
TRESPASS,1603,2017
VANDALISM,9565,2017
VEHICLE THEFT,5281,2017
WARRANTS,4600,2017
WEAPON LAWS,1346,2017
ARSON,7,2018
ASSAULT,288,2018
BRIBERY,2,2018
BURGLARY,135,2018
DISORDERLY CONDUCT,5,2018
DRIVING UNDER THE INFLUENCE,12,2018
DRUG/NARCOTIC,81,2018
DRUNKENNESS,5,2018
EMBEZZLEMENT,3,2018
FAMILY OFFENSES,1,2018
FORGERY/COUNTERFEITING,9,2018
FRAUD,53,2018
GAMBLING,1,2018
KIDNAPPING,2,2018
LARCENY/THEFT,1076,2018
MISSING PERSON,49,2018
NON-CRIMINAL,385,2018
OTHER OFFENSES,336,2018
PROSTITUTION,1,2018
ROBBERY,65,2018
RUNAWAY,2,2018
SECONDARY CODES,51,2018
"SEX OFFENSES, FORCIBLE",12,2018
"SEX OFFENSES, NON FORCIBLE",1,2018
STOLEN PROPERTY,23,2018
SUICIDE,2,2018
SUSPICIOUS OCC,133,2018
TRESPASS,27,2018
VANDALISM,202,2018
VEHICLE THEFT,100,2018
WARRANTS,103,2018
WEAPON LAWS,59,2018